Problem,TSF_DIM1,TSF_DIM2,TSF_DIM3,TSF_DIM4,TSF_DIM5,AVERAGE,TSF,WIN or LOSE
AWR,0.96,0.97,0.963333,0.963333,0.96,0.9633332,0.9482,1
AF,0.333333,0.266667,0.266667,0.266667,0.266667,0.2800002,0.2978,0
BM,1,1,1,1,1,1,0.9983,1
CR,0.930556,0.944444,0.916667,0.902778,0.916667,0.9222224,0.9315,0
EP,0.963768,0.963768,0.963768,0.963768,0.963768,0.963768,0.9734,0
FM,0.57,0.51,0.55,0.54,0.55,0.544,0.5317,1
HMD,0.513514,0.513514,0.486486,0.486486,0.5,0.5,0.4851,1
HW,0.358824,0.350588,0.350588,0.331765,0.348235,0.348,0.3642,0
HB,0.731707,0.721951,0.731707,0.731707,0.731707,0.7297558,0.7228,1
LIB,0.8,0.8,0.816667,0.827778,0.788889,0.8066668,0.7972,1
LSST,0.529603,0.535685,0.532441,0.532036,0.533658,0.5326846,0.3431,1
NATO,0.827778,0.833333,0.838889,0.833333,0.822222,0.831111,0.7772,1
PD,0.902516,0.897942,0.90223,0.90223,0.903087,0.901601,0.9411,0
RS,0.888158,0.901316,0.901316,0.881579,0.894737,0.8934212,0.8829,1
SRS1,0.83959,0.853242,0.846416,0.846416,0.843003,0.8457334,0.8473,0
SRS2,0.488889,0.494444,0.483333,0.488889,0.477778,0.4866666,0.5065,0
SWJ,0.4,0.4,0.4,0.4,0.4,0.4,0.3333,1
UW,0.840625,0.8375,0.83125,0.8375,0.8375,0.836875,0.8505,0
,,,,,,0.7103244,0.668457692,win 10 lose 8
