Problem,CIF_DIM1,CIF_DIM2,CIF_DIM3,CIF_DIM4,CIF_DIM5,AVERAGE,CIF,WIN or LOSE,,,,,,,,,,,,,,,,,win or lose
AWR,0.983333333,0.983333333,0.986666667,0.98,0.976666667,0.982,0.9789,1,,,,,,,,,,,,,,,,,1
AF,0.266666667,0.333333333,0.4,0.4,0.466666667,0.373333333,0.2511,1,,,,,,,,,,,,,,,,,1
BM,1,1,1,1,1,1,0.9975,1,,,,,,,,,,,,,,,,,1
CR,0.972222222,0.958333333,,,,0.965277778,0.9838,0,,,,,,,,,,,,,,,,,0
EP,1,1,1,1,1,1,0.9838,1,,,,,,,,,,,,,,,,,0
NATO,0.909948542,0.906803888,0.910520297,,,0.909090909,0.8441,1,,,,,,,,,,,,,,,,,1
SWJ,0.466666667,0.533333333,0.466666667,0.466666667,0.533333333,0.493333333,0.4511,1,,,,,,,,,,,,,,,,,1
UW,0.9,0.89375,0.890625,,,0.894791667,0.9242,0,,,,,,,,,,,,,,,,,0
AVERAGE,0.812354679,0.826110903,0.807782662,0.769333333,0.795333333,0.827228377,0.8018125,win 6 lose 2,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,6 win  3 lose
